Start,Stop,Year,Month,Temperature,Quality
1971-04-01 00:00:01,1971-05-01 00:00:00,1971,04,4.8,Y
1971-05-01 00:00:01,1971-06-01 00:00:00,1971,05,11.5,Y
1971-06-01 00:00:01,1971-07-01 00:00:00,1971,06,13.9,Y
1971-07-01 00:00:01,1971-08-01 00:00:00,1971,07,16.8,Y
1971-08-01 00:00:01,1971-09-01 00:00:00,1971,08,15.7,Y
1971-09-01 00:00:01,1971-10-01 00:00:00,1971,09,11.5,Y
1971-10-01 00:00:01,1971-11-01 00:00:00,1971,10,8.9,Y
1971-11-01 00:00:01,1971-12-01 00:00:00,1971,11,3.3,Y
1971-12-01 00:00:01,1972-01-01 00:00:00,1971,12,3.9,Y
1972-01-01 00:00:01,1972-02-01 00:00:00,1972,01,-3.6,Y
1972-02-01 00:00:01,1972-03-01 00:00:00,1972,02,0.1,Y
1972-03-01 00:00:01,1972-04-01 00:00:00,1972,03,2.5,Y
1972-05-01 00:00:01,1972-06-01 00:00:00,1972,05,12.1,Y
1972-06-01 00:00:01,1972-07-01 00:00:00,1972,06,15.1,Y
1972-07-01 00:00:01,1972-08-01 00:00:00,1972,07,18.6,Y
1972-08-01 00:00:01,1972-09-01 00:00:00,1972,08,16.2,Y
1972-09-01 00:00:01,1972-10-01 00:00:00,1972,09,11.3,Y
1972-10-01 00:00:01,1972-11-01 00:00:00,1972,10,8.5,Y
1972-11-01 00:00:01,1972-12-01 00:00:00,1972,11,5.6,Y
1972-12-01 00:00:01,1973-01-01 00:00:00,1972,12,4.6,Y
1973-01-01 00:00:01,1973-02-01 00:00:00,1973,01,1.2,Y
1973-02-01 00:00:01,1973-03-01 00:00:00,1973,02,2.5,Y
1973-03-01 00:00:01,1973-04-01 00:00:00,1973,03,5.2,Y
1973-04-01 00:00:01,1973-05-01 00:00:00,1973,04,5.4,Y
1973-05-01 00:00:01,1973-06-01 00:00:00,1973,05,11.3,Y
1973-06-01 00:00:01,1973-07-01 00:00:00,1973,06,16.0,Y
1973-07-01 00:00:01,1973-08-01 00:00:00,1973,07,19.0,Y
1973-08-01 00:00:01,1973-09-01 00:00:00,1973,08,16.2,Y
1973-09-01 00:00:01,1973-10-01 00:00:00,1973,09,12.6,Y
1973-10-01 00:00:01,1973-11-01 00:00:00,1973,10,6.3,Y
1973-11-01 00:00:01,1973-12-01 00:00:00,1973,11,2.3,Y
1973-12-01 00:00:01,1974-01-01 00:00:00,1973,12,0.8,Y
1974-01-01 00:00:01,1974-02-01 00:00:00,1974,01,2.5,Y
1974-02-01 00:00:01,1974-03-01 00:00:00,1974,02,2.8,Y
1974-03-01 00:00:01,1974-04-01 00:00:00,1974,03,4.2,Y
1974-04-01 00:00:01,1974-05-01 00:00:00,1974,04,8.4,Y
1974-05-01 00:00:01,1974-06-01 00:00:00,1974,05,11.6,Y
1974-06-01 00:00:01,1974-07-01 00:00:00,1974,06,15.4,Y
1974-07-01 00:00:01,1974-08-01 00:00:00,1974,07,15.5,Y
1974-08-01 00:00:01,1974-09-01 00:00:00,1974,08,16.2,Y
1974-09-01 00:00:01,1974-10-01 00:00:00,1974,09,13.8,Y
1974-10-01 00:00:01,1974-11-01 00:00:00,1974,10,6.5,Y
1974-11-01 00:00:01,1974-12-01 00:00:00,1974,11,5.0,Y
1974-12-01 00:00:01,1975-01-01 00:00:00,1974,12,4.2,Y
